32764,28
32764,29.9
32764,31.8
32764,33.7
32764,35.6
32764,37.5
32764,39.4
32764,41.3
32764,43.2
32764,45.1
32764,47
32764,49
32764,51
32764,53
32764,55
32764,57
32764,59
32764,61
32764,63
32764,65
32764,67
32764,69.5
32764.01978,72
32764.06057,74.5
32764.21611,77
32764.25395,79.5
32764.93858,82
31881.53649,84.5
29282.1763,87
27208.60662,89.5
25982.32399,92
24738.65712,94.1
22938.12795,96.2
21460.12549,98.3
20523.73136,100.4
18769.68673,102.5
16676.73757,104.6
14503.74752,106.7
13399.31584,108.8
12798.42186,110.9
12205.70137,113
11114.4685,114.5
10704.57855,116
9971.255588,117.5
9626.001506,119
8584.924927,120.5
8184.680812,122
7781.254719,123.5
7270.729606,125
6967.136069,126.5
6598.567875,128
6385.018794,129.7
6080.508285,131.4
5883.235164,133.1
5515.1029,134.8
5227.215033,136.5
5054.067075,138.2
5047.520679,139.9
4942.307255,141.6
4779.052835,143.3
4731.06098,145
4666.760118,147.5
4490.348427,150
4402.247721,152.5
4248.211977,155
4134.181902,157.5
3974.99434,160
3866.538504,162.5
3739.66429,165
3603.940344,167.5
3458.499675,170
3342.442969,172
3255.806045,174
3034.312113,176
2926.128159,178
2772.266221,180
2633.856868,182
2522.109038,184
2460.731599,186
2331.75642,188
2237.674686,190
2045.290444,192.8
1963.61427,195.6
1865.244488,198.4
1763.00709,201.2
1700.540208,204
1656.397295,206.8
1613.8578,209.6
1607.179206,212.4
1537.250793,215.2
1515.600541,218
1468.620101,220.9
1412.110831,223.8
1369.92883,226.7
1334.391622,229.6
1257.547216,232.5
1217.456775,235.4
1171.334709,238.3
1134.604777,241.2
1060.702126,244.1
1011.666447,247
974.3125782,249.4
924.054111,251.8
893.1545219,254.2
871.4683012,256.6
834.1972189,259
784.8471189,261.4
744.6401816,263.8
691.0752492,266.2
656.9642304,268.6
620.0032258,271
600.3532294,273
575.5501716,275
556.5294242,277
532.5044601,279
526.459875,281
510.3920062,283
489.2903024,285
474.605099,287
461.615641,289
460.092382,291
450.5840654,295.037037
430.3916821,299.0740741
420.5567738,303.1111111
417.9724871,307.1481481
405.2468384,311.1851852
383.2623123,315.2222222
377.6903494,319.2592593
374.4128737,323.2962963
370.4659229,327.3333333
358.90528,331.3703704
348.208271,335.4074074
341.0718399,339.4444444
344.7462835,343.4814815
329.220291,347.5185185
323.4872486,351.5555556
313.5426606,355.5925926
316.2419959,359.6296296
299.2824753,363.6666667
305.851271,367.7037037
306.1404906,371.7407407
294.7677052,375.7777778
295.1829941,379.8148148
286.190496,383.8518519
272.2645772,387.8888889
275.2235455,391.9259259
270.4533231,395.962963
257.0486335,400
277,404.037037
261.9255619,408.0740741
263.0076045,412.1111111
275.9148419,416.1481481
271.1051457,420.1851852
265.8589852,424.2222222
264.9698096,428.2592593
285.3086048,432.2962963
279.9017685,436.3333333
277.6220452,440.3703704
283.019434,444.4074074
287.9600667,448.4444444
281.1547617,452.4814815
278.179798,456.5185185
292.9249051,460.5555556
282.7083303,464.5925926
286.3564213,468.6296296
290.6165859,472.6666667
284.6928169,476.7037037
291.7276127,480.7407407
302.5359483,484.7777778
287.2716484,488.8148148
309.3864897,492.8518519
308.4234103,496.8888889
312.9217154,500.9259259
303.8042133,504.962963
307.3190525,509
317.4728335,513.037037
313.8184188,517.0740741
316.6022742,521.1111111
316.6022742,525.1481481
310.8005792,529.1851852
321.099673,533.2222222
324.53043,537.2592593
316.886415,541.2962963
329.6922808,545.3333333
351.2406582,549.3703704
359.5622338,553.4074074
354.4686164,557.4444444
334.7013594,561.4814815
336.3599263,565.5185185
338.0014793,569.5555556
353.5533906,573.5925926
353.782419,577.6296296
354.2668486,581.6666667
364.9356108,585.7037037
361.4152736,589.7407407
388.9730068,593.7777778
387.4970968,597.8148148
374.0761954,601.8518518
383.2518754,605.8888889
368.4358832,609.9259259
376.1834659,613.962963
375.5063248,618
379.0118732,622.037037